Class,Crew,Country,Seat,Span,OarLength,OarInboard,OarOutboard
LM2x,7BB304CCF9925D968BF382506358975C,JPN,1,159,288,88,200
LM2x,7BB304CCF9925D968BF382506358975C,JPN,2,159.5,288,88,200
LW2x,964D4D5ECA97D9316D34AC81CD5C28EA,USA,1,159,289,89,200
LW2x,964D4D5ECA97D9316D34AC81CD5C28EA,USA,2,159,289,89,200
LM2x,AEC930489B5F4B84E426622BE04B1864,RUS,1,160,287,88.5,198.5
LM2x,AEC930489B5F4B84E426622BE04B1864,RUS,2,160,287,88.5,198.5
LM2x,111ED34BD8A13ED8C10EA392E9841F0A,URU,1,159,287,88,199
LM2x,111ED34BD8A13ED8C10EA392E9841F0A,URU,2,159,287,88,199
LM2x,018EFEF6B9BAE01523E86DEA0EEB9373,UZB,1,160.5,288,85.5,202.5
LM2x,018EFEF6B9BAE01523E86DEA0EEB9373,UZB,2,160,288,85.5,202.5
LM2x,D455A1C04FF424D18329C108A9DA1B7D,PER,1,160.5,288,85.5,202.5
LM2x,D455A1C04FF424D18329C108A9DA1B7D,PER,2,160,288,85.5,202.5
LM2x,0F9E2CF1242C1E0F7F7F453DA1C8878E,GUA,1,159,288,88.5,199.5
LM2x,0F9E2CF1242C1E0F7F7F453DA1C8878E,GUA,2,158.5,288,88.5,199.5
LM2x,5DEC56B71FF6C2521552B6ED91A25CDD,EGY,1,160.5,,,
LM2x,5DEC56B71FF6C2521552B6ED91A25CDD,EGY,2,160,,,
LM2x,683A205D8CBB6A34E21C7A6314F5D4A1,UGA,1,159.5,287.5,86,201.5
LM2x,683A205D8CBB6A34E21C7A6314F5D4A1,UGA,2,159.5,287.5,86,201.5
W4x,5892F89DC493A8DF05D7041688ED3E4B,NED,1,159,289,88.5,200.5
W4x,5892F89DC493A8DF05D7041688ED3E4B,NED,2,159,289,88.5,200.5
W4x,5892F89DC493A8DF05D7041688ED3E4B,NED,3,159,289,88.5,200.5
W4x,5892F89DC493A8DF05D7041688ED3E4B,NED,4,159,288.5,88,200.5
W4x,49FCE9673A680E431E1EF03D4AC93E65,POL,1,159,288,89,199
W4x,49FCE9673A680E431E1EF03D4AC93E65,POL,2,159,288,89,199
W4x,49FCE9673A680E431E1EF03D4AC93E65,POL,3,159,288,89,199
W4x,49FCE9673A680E431E1EF03D4AC93E65,POL,4,159,288,89,199
W4x,B2BF7F5786003222E46BDF7B99E3EC06,GBR,1,160,289,87,202
W4x,B2BF7F5786003222E46BDF7B99E3EC06,GBR,2,160,289,87,202
W4x,B2BF7F5786003222E46BDF7B99E3EC06,GBR,3,160,289,87,202
W4x,B2BF7F5786003222E46BDF7B99E3EC06,GBR,4,160,289,87,202
W4x,DECFC5EBA7FE0A613109F73FE2AA2763,GER,1,159.5,286,88,198
W4x,DECFC5EBA7FE0A613109F73FE2AA2763,GER,2,161,287,88,199
W4x,DECFC5EBA7FE0A613109F73FE2AA2763,GER,3,160,287,88,199
W4x,DECFC5EBA7FE0A613109F73FE2AA2763,GER,4,158.5,287,87.5,199.5
W4x,A9C02DDE29E19D8AF11C938C5EEECB73,USA,1,160,287,87,200
W4x,A9C02DDE29E19D8AF11C938C5EEECB73,USA,2,160,287,87,200
W4x,A9C02DDE29E19D8AF11C938C5EEECB73,USA,3,160,287,87,200
W4x,A9C02DDE29E19D8AF11C938C5EEECB73,USA,4,160,287,87,200
W4x,F159B84068BF7D6232AECB115DDDBE25,AUS,1,159,288,88,200
W4x,F159B84068BF7D6232AECB115DDDBE25,AUS,2,159,288,88,200
W4x,F159B84068BF7D6232AECB115DDDBE25,AUS,3,159,288,88,200
W4x,F159B84068BF7D6232AECB115DDDBE25,AUS,4,159,288,88,200
W4x,CB0FA7C4528FE9777342B2A6975B3FE8,CHN,1,159,288,87.5,200.5
W4x,CB0FA7C4528FE9777342B2A6975B3FE8,CHN,2,159,288,87.5,200.5
W4x,CB0FA7C4528FE9777342B2A6975B3FE8,CHN,3,159,288,87.5,200.5
W4x,CB0FA7C4528FE9777342B2A6975B3FE8,CHN,4,159,288,87.5,200.5
W4x,80BF6D47D90911DA0841343574730EB3,UKR,1,158,287,87.5,199.5
W4x,80BF6D47D90911DA0841343574730EB3,UKR,2,158,287,88,199
W4x,80BF6D47D90911DA0841343574730EB3,UKR,3,158,287,88,199
W4x,80BF6D47D90911DA0841343574730EB3,UKR,4,158,287,88,199
W4x,B64A6E8C95E2B9E36BD50EC481EE916C,FRA,1,159,288,88,200
W4x,B64A6E8C95E2B9E36BD50EC481EE916C,FRA,2,159,288,88,200
W4x,B64A6E8C95E2B9E36BD50EC481EE916C,FRA,3,159,288,88,200
W4x,B64A6E8C95E2B9E36BD50EC481EE916C,FRA,4,159,288,88,200
